ID,T_HANDLE,T_NAME,CATEGORY,OPENNESS,ADVENTUROUSNESS,ARTISTIC_INTERESTS,EMOTIONALITY,IMAGINATION,INTELLECT,AUTHORITY_CHALLENGING,CONSCIENTIOUSNESS,ACHIEVEMENT_STRIVING,CAUTIOUSNESS,DUTIFULNESS,ORDERLINESS,SELF_DISCIPLINE,SELF_EFFICACY,EXTRAVERSION,ACTIVITY_LEVEL,ASSERTIVENESS,CHEERFULNESS,EXCITEMENT_SEEKING,OUTGOING,GREGARIOUSNESS,AGREEABLENESS,ALTRUISM,COOPERATION,MODESTY,UNCOMPROMISING,SYMPATHY,TRUST,EMOTIONAL_RANGE,FIERY,PRONE_TO_WORRY,MELANCHOLY,IMMODERATION,SELF_CONSCIOUSNESS,SUSCEPTIBLE_TO_STRESS,CHALLENGE,CLOSENESS,CURIOSITY,EXCITEMENT,HARMONY,IDEAL,LIBERTY,LOVE,PRACTICALITY,SELF_EXPRESSION,STABILITY,STRUCTURE,CONSERVATION,OPENNESS_TO_CHANGE,HEDONISM,SELF_ENHANCEMENT,SELF_TRANSCENDENCE,CATEGORY
1,chetan_bhagat,Chetan Bhagat,Writer,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,LOW,LOW,LOW,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,Writer
2,Javedakhtarjadu,Javed Actor,Writer,MEDIUM,LOW,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,LOW,MEDIUM,LOW,LOW,HIGH,Writer
3,taran_adarsh,Taran Adarsh,Writer,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,HIGH,MEDIUM,LOW,Writer
4,SalmanRushdie,Salman Rushdie,Writer,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,LOW,HIGH,MEDIUM,MEDIUM,MEDIUM,Writer
5,rahulkanwal,Rahul Kanwal,Writer,HIGH,HIGH,LOW,LOW,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,HIGH,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,HIGH,Writer
7,anupamachopra,Anupam Chopra,Writer,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,LOW,Writer
8,PritishNandy,Pritish Nandy,Writer,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,MEDIUM,Writer
9,sagarikaghose,Sagarika Ghoshe,Writer,HIGH,HIGH,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,Writer
10,vikramchandra,Vikram Chandra,Writer,HIGH,MEDIUM,LOW,LOW,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,HIGH,Writer
11,jiteshpillaai,Jitesh Pillai,Writer,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,LOW,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,LOW,LOW,Writer
39,sachin_rt,sachin tendulkar,Sports,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,Sports
40,imVkohli,Virat Kohli,Sports,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,LOW,HIGH,Sports
41,ImRaina,Suresh Raina,Sports,LOW,LOW,HIGH,HIGH,LOW,LOW,LOW,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,HIGH,Sports
42,virendersehwag,Virender Sehwag,Sports,LOW,LOW,MEDIUM,HIGH,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,Sports
43,ImRo45,Rohit Sharma,Sports,LOW,MEDIUM,HIGH,HIGH,LOW,LOW,LOW,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,HIGH,Sports
44,harbhajan_singh,Harbhajan Singh,Sports,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,LOW,LOW,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,LOW,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,HIGH,HIGH,LOW,Sports
45,chetrisunil11,Sunil Chhetri,Sports,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,Sports
46,Abhinav_Bindra,Abhinav Bindra,Sports,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,Sports
50,chetrisunil11,Sunil Chhetri,Sports,LOW,MEDIUM,MEDIUM,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,Sports
51,Abhinav_Bindra,Abhinav Bindra,Sports,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,LOW,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,Sports
52,PankajAdvani247,Pankaj Advani,Sports,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,LOW,Sports
18,narendramodi,Narendra Modi,Politics,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,LOW,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,LOW,LOW,HIGH,MEDIUM,HIGH,MEDIUM,Politics
19,ArvindKejriwal,Arvind Kejriwal,Politics,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,HIGH,MEDIUM,Politics
20,ShashiTharoor,Shashi Tharoor,Politics,HIGH,HIGH,LOW,LOW,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,HIGH,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,Politics
